Symbol,Date,Open,High,Low,Close,Adj Close,Volume
NTAP,7/16/2018,82.580002,83.110001,81.5,81.849998,81.849998,2402900
NTAP,7/17/2018,81.459999,83.139999,81.25,82.43,82.43,2665700
NTAP,7/18/2018,82.410004,82.730003,81.389999,82.230003,82.230003,2161200
NTAP,7/19/2018,82.260002,82.879997,81.980003,82.32,82.32,1931500
STX,6/20/2018,58.139999,58.470001,57.799999,58.080002,58.080002,2033600
STX,6/21/2018,58.169998,59.93,57.830002,58.439999,58.439999,2705200
STX,6/22/2018,58.849998,59.16,58.150002,58.220001,58.220001,1959000
STX,6/25/2018,57.75,57.900002,55.459999,55.830002,55.830002,2460000
STX,6/26/2018,56.330002,56.799999,55.900002,56.509998,56.509998,2896600
STX,6/27/2018,56.880001,57.200001,55.650002,55.689999,55.689999,1690600
STX,6/28/2018,55.57,56.720001,55.029999,56.360001,56.360001,1696500
STX,6/29/2018,56.869999,57.41,56.459999,56.470001,56.470001,2091300
STX,7/2/2018,55.419998,57.68,55.34,57.610001,57.610001,2368700
STX,7/3/2018,57.790001,58.119999,56.619999,56.900002,56.900002,1637300
STX,7/5/2018,57.43,58.610001,56.93,58.610001,58.610001,2123300
STX,7/6/2018,58.630001,58.82,57.919998,58.59,58.59,1877200
STX,7/9/2018,58.990002,59.25,58.119999,58.75,58.75,2200400
STX,7/10/2018,58.810001,59.43,58.639999,58.889999,58.889999,1565300
STX,7/11/2018,58.18,58.189999,56.82,57.240002,57.240002,1642100
STX,7/12/2018,57.799999,59.139999,57.799999,59.02,59.02,1653900
STX,7/13/2018,58.709999,59.66,58.5,59.02,59.02,1579900
STX,7/16/2018,58.91,58.91,58.139999,58.450001,58.450001,1240500
STX,7/17/2018,58.189999,58.349998,57.66,58.099998,58.099998,2054000
STX,7/18/2018,58.23,58.91,57.919998,58.099998,58.099998,1565400
STX,7/19/2018,58.09,58.43,56.919998,57.18,57.18,1539400
TRIP,6/20/2018,59.32,59.720001,58.389999,58.549999,58.549999,1679600
TRIP,6/21/2018,58.84,59.380001,56.790001,57.029999,57.029999,1759900
TRIP,6/22/2018,57.029999,57.869999,56.310001,56.66,56.66,3220800
TRIP,6/25/2018,56.650002,56.689999,54.84,55.709999,55.709999,2236600
TRIP,6/26/2018,55.779999,56.830002,55.150002,56.529999,56.529999,2102800
TRIP,6/27/2018,56.75,57.43,55.970001,55.98,55.98,1766100
TRIP,6/28/2018,56.439999,56.990002,55.580002,56.650002,56.650002,1848000
TRIP,6/29/2018,56.799999,57.27,55.689999,55.709999,55.709999,1521300
TRIP,7/2/2018,55.310001,56.880001,54.5,56.110001,56.110001,1812400
TRIP,7/3/2018,56.669998,56.860001,56.119999,56.240002,56.240002,920600
TRIP,7/5/2018,56.66,56.950001,56.049999,56.91,56.91,1640900
TRIP,7/6/2018,56.91,57.779999,55.790001,57.560001,57.560001,1292800
TRIP,7/9/2018,57.689999,57.810001,57.200001,57.700001,57.700001,1356200
TRIP,7/10/2018,57.93,58.240002,57.259998,57.59,57.59,1531500
TRIP,7/11/2018,59.049999,60.419998,58.139999,58.669998,58.669998,3795800
TRIP,7/12/2018,58.759998,59.75,58.400002,59.599998,59.599998,2407800
TRIP,7/13/2018,59.68,59.970001,58.700001,59.130001,59.130001,1328900
TRIP,7/16/2018,59.119999,59.619999,58.689999,59.349998,59.349998,990200
TRIP,7/17/2018,59.259998,60.709999,58.459999,60.369999,60.369999,2172400
TRIP,7/18/2018,60.509998,61.389999,60.060001,60.950001,60.950001,1786600
TRIP,7/19/2018,60.830002,61.240002,60.41,60.68,60.68,988400
TWTR,6/20/2018,45.560001,46.919998,45.439999,46.130001,46.130001,31230200
TWTR,6/21/2018,46.360001,46.869999,44.200001,45.240002,45.240002,32200300
TWTR,6/22/2018,45.580002,46.009998,44.5,45.880001,45.880001,28628900
TWTR,6/25/2018,45.470001,45.52,43.330002,44.169998,44.169998,31379300
TWTR,6/26/2018,44.360001,45.32,43.509998,44.84,44.84,20194100
TWTR,6/27/2018,45.5,46.220001,43.68,43.700001,43.700001,25875500
TWTR,6/28/2018,43.650002,44.84,42.490002,44.790001,44.790001,18911200
TWTR,6/29/2018,45.049999,45.200001,43.560001,43.669998,43.669998,24392900
TWTR,7/2/2018,43.060001,45,42.75,44.98,44.98,16703600
TWTR,7/3/2018,45.360001,45.48,43.799999,43.889999,43.889999,14237500
TWTR,7/5/2018,44.07,45.110001,43.549999,45.060001,45.060001,16172000
TWTR,7/6/2018,44.91,46.75,44.610001,46.650002,46.650002,23740700
TWTR,7/9/2018,46.740002,46.900002,42.080002,44.139999,44.139999,107582400
TWTR,7/10/2018,44.200001,45.259998,43.630001,43.75,43.75,38467400
TWTR,7/11/2018,42.630001,44.099998,42.220001,43.869999,43.869999,35100100
TWTR,7/12/2018,44.799999,45.34,44.360001,45.259998,45.259998,27078500
TWTR,7/13/2018,45.279999,45.32,43.93,44.490002,44.490002,16426700
TWTR,7/16/2018,44.299999,44.73,43.91,44.259998,44.259998,13012800
